num__wkhtot,num__educ_mob_avg,num__gov_trust_mob,num__equality_mob,gen_trust__gen_trust,gov_trust__gov_trust,equality_importance__equality_importance,income_decile__income_decile,resp_ed__resp_ed,EQI__EQI,unemp_nuts2__unemp_nuts2,nom__marital_status_0.0,nom__marital_status_1.0,nom__union_member_0.0,nom__child_ever_1.0,nom__domicile_cleaned_1.0,nom__domicile_cleaned_2.0,nom__domicile_cleaned_4.0,nom__unemp_ever_0.0,nom__unemp_ever_1.0
-0.0272509397557806,0.960802425279595,-0.2704116484476496,0.032453170090833,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.0272509397557806,0.960802425279595,-0.2704116484476496,1.4645995465066697,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
-0.0272509397557806,-0.5427949606488917,-0.2704116484476496,1.4645995465066697,3.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.0272509397557806,-1.1442339150202865,-0.2704116484476496,-0.6836200181170851,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-0.3905605034275992,-0.843514437834589,-1.1928526929783738,-1.3996932063250032,2.0,3.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.0272509397557806,-1.1442339150202865,0.1908088738177125,-0.6836200181170851,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
0.3360586239160379,0.960802425279595,0.6520293960830748,0.032453170090833,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.6993681875878565,-1.4449533922059836,-0.2704116484476496,-0.6836200181170851,3.0,2.0,0.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.3360586239160379,-0.843514437834589,-1.1928526929783738,-1.3996932063250032,3.0,2.0,0.0,9.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.0272509397557806,0.960802425279595,-0.2704116484476496,0.032453170090833,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.0272509397557806,-0.2420754834631943,1.574470440613799,2.8967459229225057,3.0,3.0,2.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-0.0272509397557806,-1.4449533922059836,-1.1928526929783738,-0.6836200181170851,3.0,0.0,0.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.0272509397557806,-0.843514437834589,-1.1928526929783738,-1.3996932063250032,2.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-0.0272509397557806,-0.2420754834631943,0.6520293960830748,0.032453170090833,2.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-0.9718558053025088,-0.2420754834631943,1.574470440613799,1.4645995465066697,3.0,3.0,1.0,7.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.4804891944430547,0.0586439937225029,1.574470440613799,0.032453170090833,2.0,3.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
-2.933727449130329,-0.843514437834589,-1.1928526929783738,-1.3996932063250032,2.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.0272509397557806,-0.2420754834631943,-0.2704116484476496,1.4645995465066697,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.0272509397557806,2.765119288393779,-0.2704116484476496,0.032453170090833,2.0,1.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.0272509397557806,0.3593634709082003,-0.2704116484476496,1.4645995465066697,3.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
