num__age,num__wkhtot,num__gov_trust_mob,num__equality_mob,num__age_squared,educ_mob_avg_category__educ_mob_avg_category,gen_trust__gen_trust,gov_trust__gov_trust,equality_importance__equality_importance,income_decile__income_decile,resp_ed__resp_ed,EQI__EQI,unemp_nuts2__unemp_nuts2,social_ties__social_ties,nom__gender_0,nom__gender_1,nom__marital_status_0.0,nom__marital_status_1.0,nom__marital_status_2.0,nom__marital_status_3.0,nom__union_member_0.0,nom__union_member_1.0,nom__child_ever_0.0,nom__child_ever_1.0,nom__domicile_cleaned_1.0,nom__domicile_cleaned_2.0,nom__domicile_cleaned_3.0,nom__domicile_cleaned_4.0,nom__domicile_cleaned_5.0,nom__unemp_ever_0.0,nom__unemp_ever_1.0
0.5909455883498629,-0.0272509397557806,-0.2704116484476496,0.032453170090833,0.4866161469964405,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.9068039439456682,-0.0272509397557806,-0.2704116484476496,1.4645995465066697,-0.916505644438864,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.7157580493744905,-0.0272509397557806,-0.2704116484476496,1.4645995465066697,0.6327746669376181,2.0,3.0,1.0,1.0,6.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0292895137390387,-0.0272509397557806,-0.2704116484476496,-0.6836200181170851,-0.1154445255304869,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5909455883498629,-0.3905605034275992,-1.1928526929783738,-1.3996932063250032,0.4866161469964405,0.0,2.0,3.0,0.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.7142577375715111,-0.0272509397557806,0.1908088738177125,-0.6836200181170851,1.9639414947095737,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4661331273252352,0.3360586239160379,0.6520293960830748,0.032453170090833,0.3449548122842223,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.4661331273252352,0.6993681875878565,-0.2704116484476496,-0.6836200181170851,0.3449548122842223,1.0,3.0,2.0,0.0,4.0,5.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.2827416388225302,0.3360586239160379,-1.1928526929783738,-1.3996932063250032,-0.4105723061809416,0.0,3.0,2.0,0.0,9.0,6.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.152601662960687,-0.0272509397557806,-0.2704116484476496,0.032453170090833,1.1797448204097942,2.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2.02628889013308,-0.0272509397557806,1.574470440613799,2.8967459229225057,2.4389566845184008,2.0,3.0,3.0,2.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-1.530866249068806,-0.0272509397557806,-1.1928526929783738,-0.6836200181170851,-1.3100093519728035,1.0,3.0,0.0,0.0,7.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.902976740911432,-0.0272509397557806,-1.1928526929783738,-1.3996932063250032,0.8604446691536831,0.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5285393578375491,-0.0272509397557806,0.6520293960830748,0.032453170090833,0.4152233314867115,2.0,2.0,2.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.4075540998471578,-0.9718558053025088,1.574470440613799,1.4645995465066697,-0.5207533442904447,2.0,3.0,3.0,1.0,7.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.0955229472855888,-1.4804891944430547,1.574470440613799,0.032453170090833,-0.2368685267123882,2.0,2.0,3.0,0.0,1.0,4.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
